sample2	sample	distance	sample_name	platform	library	DNA_isolation_kit	rep	sample_name.2	platform.2	library.2	DNA_isolation_kit.2	rep.2
Illumina_V1_V2_I1	Illumina_WGS_MN1	0.698559985539939	MN1	Illumina MiSeq	Illumina WGS	MN	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_I4	0.662742292110513	I4	ONT MinIon	ONT V1-V9	I	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_I4	0.666216807467258	I4	PacBio Sequel IIe	PacBio V1-V9	I	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_MN4	0.689654242275056	MN4	Illumina MiSeq	Illumina WGS	MN	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_I3	0.658578617098356	I3	ONT MinIon	ONT V1-V9	I	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Q2	0.887477656369759	Q2	Illumina MiSeq	Illumina WGS	Q	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_MN2	0.624998946774622	MN2	PacBio Sequel IIe	PacBio V1-V9	MN	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_MN2	0.439385704614645	MN2	Illumina MiSeq	PerkinElmer V1-V3	MN	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_Z3	0.70779572450268	Z3	PacBio Sequel IIe	PacBio V1-V9	Z	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_MN2	0.770719711634365	MN2	Illumina MiSeq	Zymo V3-V4	MN	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_MN2	0.126488837252218	MN2	Illumina MiSeq	Zymo V1-V2	MN	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_MN1	0.498604275591822	MN1	Illumina MiSeq	PerkinElmer V1-V3	MN	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_I1	0.46682377626066	I1	Illumina MiSeq	PerkinElmer V1-V3	I	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Z3	0.691077739559585	Z3	Illumina MiSeq	Illumina WGS	Z	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_Z4	0.365174849173929	Z4	Illumina MiSeq	Zymo V1-V2	Z	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Z1	0.693824751206609	Z1	Illumina MiSeq	Illumina WGS	Z	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_I3	0.667824996135964	I3	PacBio Sequel IIe	PacBio V1-V9	I	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_Z4	0.764514206505895	Z4	Illumina MiSeq	PerkinElmer V1-V3	Z	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_Z4	0.64035972704348	Z4	ONT MinIon	ONT V1-V9	Z	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_MN1	0.762792531090605	MN1	Illumina MiSeq	Zymo V3-V4	MN	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_MN4	0.655055640465379	MN4	PacBio Sequel IIe	PacBio V1-V9	MN	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Q3	0.874956518080283	Q3	Illumina MiSeq	Illumina WGS	Q	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_Z1	0.772091094830379	Z1	Illumina MiSeq	Zymo V3-V4	Z	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_Z3	0.768822211295961	Z3	Illumina MiSeq	Zymo V3-V4	Z	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_MN4	0.765497087406869	MN4	Illumina MiSeq	Zymo V3-V4	MN	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_MN2	0.662090205935432	MN2	ONT MinIon	ONT V1-V9	MN	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_Z4	0.614573369797437	Z4	PacBio Sequel IIe	PacBio V1-V9	Z	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_I2	0.766236657116098	I2	Illumina MiSeq	Zymo V3-V4	I	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_I3	0.052712324762726	I3	Illumina MiSeq	Zymo V1-V2	I	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_Z3	0.6691495088524	Z3	ONT MinIon	ONT V1-V9	Z	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_Z2	0.423491944798038	Z2	Illumina MiSeq	Zymo V1-V2	Z	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_MN4	0.563692038654851	MN4	Illumina MiSeq	PerkinElmer V1-V3	MN	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Z4	0.689024485738023	Z4	Illumina MiSeq	Illumina WGS	Z	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_MN1	0.696800999730666	MN1	ONT MinIon	ONT V1-V9	MN	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_Z3	0.669249998026615	Z3	Illumina MiSeq	PerkinElmer V1-V3	Z	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_MN3	0.641985253283867	MN3	PacBio Sequel IIe	PacBio V1-V9	MN	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Q1	0.845087045522992	Q1	Illumina MiSeq	Illumina WGS	Q	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_MN3	0.764436130467598	MN3	Illumina MiSeq	Zymo V3-V4	MN	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_I4	0.550539349825879	I4	Illumina MiSeq	PerkinElmer V1-V3	I	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_I2	0.495631622474844	I2	Illumina MiSeq	PerkinElmer V1-V3	I	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_Z2	0.64670506803278	Z2	ONT MinIon	ONT V1-V9	Z	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_Q2	0.74896784363947	Q2	Illumina MiSeq	PerkinElmer V1-V3	Q	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_I3	0.510097765074908	I3	Illumina MiSeq	PerkinElmer V1-V3	I	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_I1	0.697564317358455	I1	ONT MinIon	ONT V1-V9	I	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_MN1	0.0779008662776331	MN1	Illumina MiSeq	Zymo V1-V2	MN	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_Z2	0.622386127927839	Z2	PacBio Sequel IIe	PacBio V1-V9	Z	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_I4	0.75975656750353	I4	Illumina MiSeq	Zymo V3-V4	I	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_I2	0.680887411353051	I2	ONT MinIon	ONT V1-V9	I	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_Z1	0.727676672040231	Z1	PacBio Sequel IIe	PacBio V1-V9	Z	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_Z2	0.479613776511452	Z2	Illumina MiSeq	PerkinElmer V1-V3	Z	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_MN4	0.662331661678344	MN4	ONT MinIon	ONT V1-V9	MN	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Q4	0.837847675805619	Q4	Illumina MiSeq	Illumina WGS	Q	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_MN3	0.0753138534060412	MN3	Illumina MiSeq	Zymo V1-V2	MN	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_MN2	0.675721743552795	MN2	Illumina MiSeq	Illumina WGS	MN	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_Z1	0.36923254352928	Z1	Illumina MiSeq	Zymo V1-V2	Z	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_I4	0.682680691767995	I4	Illumina MiSeq	Illumina WGS	I	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_I4	0.0543149571054325	I4	Illumina MiSeq	Zymo V1-V2	I	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_Q1	0.79600267667293	Q1	Illumina MiSeq	PerkinElmer V1-V3	Q	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_MN4	0.107095838414341	MN4	Illumina MiSeq	Zymo V1-V2	MN	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_Q3	0.819917787389211	Q3	Illumina MiSeq	PerkinElmer V1-V3	Q	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_MN3	0.48534596061358	MN3	Illumina MiSeq	PerkinElmer V1-V3	MN	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_MN3	0.682043628932887	MN3	Illumina MiSeq	Illumina WGS	MN	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_Z2	0.7588359625541	Z2	Illumina MiSeq	Zymo V3-V4	Z	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_MN1	0.678584386665889	MN1	PacBio Sequel IIe	PacBio V1-V9	MN	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_I1	0.681908314542408	I1	PacBio Sequel IIe	PacBio V1-V9	I	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	PacBio_V1_V9_I2	0.643968794625053	I2	PacBio Sequel IIe	PacBio V1-V9	I	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_Z4	0.732817395248789	Z4	Illumina MiSeq	Zymo V3-V4	Z	4	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V3_Z1	0.49453610344805	Z1	Illumina MiSeq	PerkinElmer V1-V3	Z	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_Z2	0.698580292883391	Z2	Illumina MiSeq	Illumina WGS	Z	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I2	PacBio_V1_V9_MN2	0.609029525021751	MN2	PacBio Sequel IIe	PacBio V1-V9	MN	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_Q1	0.757136562571676	Q1	Illumina MiSeq	PerkinElmer V1-V3	Q	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_MN3	0.67779419651943	MN3	Illumina MiSeq	Illumina WGS	MN	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_MN3	0.776549943840844	MN3	Illumina MiSeq	Zymo V3-V4	MN	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_I1	0.770657998987713	I1	Illumina MiSeq	Zymo V3-V4	I	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_I4	0.0656666421216849	I4	Illumina MiSeq	Zymo V1-V2	I	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_MN3	0.462946724284768	MN3	Illumina MiSeq	PerkinElmer V1-V3	MN	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_I4	0.645017535252453	I4	ONT MinIon	ONT V1-V9	I	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_I2	0.655651643197741	I2	ONT MinIon	ONT V1-V9	I	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_MN3	0.629296744647814	MN3	PacBio Sequel IIe	PacBio V1-V9	MN	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_MN1	0.10882546499058	MN1	Illumina MiSeq	Zymo V1-V2	MN	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_Z1	0.31181696451051	Z1	Illumina MiSeq	Zymo V1-V2	Z	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_I2	0.466955564704613	I2	Illumina MiSeq	PerkinElmer V1-V3	I	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_MN1	0.490259165896822	MN1	Illumina MiSeq	PerkinElmer V1-V3	MN	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_I2	0.778431695113328	I2	Illumina MiSeq	Zymo V3-V4	I	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_MN1	0.671176378301504	MN1	ONT MinIon	ONT V1-V9	MN	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_Z4	0.591034954529679	Z4	ONT MinIon	ONT V1-V9	Z	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_MN4	0.0719873271512184	MN4	Illumina MiSeq	Zymo V1-V2	MN	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_MN1	0.775882215178578	MN1	Illumina MiSeq	Zymo V3-V4	MN	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_Z1	0.44996809209718	Z1	Illumina MiSeq	PerkinElmer V1-V3	Z	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_I1	0.0934393593574263	I1	Illumina MiSeq	Zymo V1-V2	I	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_I3	0.795206651990088	I3	Illumina MiSeq	Zymo V3-V4	I	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_I4	0.655019682514436	I4	PacBio Sequel IIe	PacBio V1-V9	I	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_I3	0.0993701696507112	I3	Illumina MiSeq	Zymo V1-V2	I	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_MN2	0.39917497796207	MN2	Illumina MiSeq	PerkinElmer V1-V3	MN	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_I2	0.680956471884011	I2	Illumina MiSeq	Illumina WGS	I	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_MN2	0.671375972170589	MN2	Illumina MiSeq	Illumina WGS	MN	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_MN4	0.561704622120401	MN4	Illumina MiSeq	PerkinElmer V1-V3	MN	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_I3	0.524267688415708	I3	Illumina MiSeq	PerkinElmer V1-V3	I	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_Z3	0.636449831636605	Z3	Illumina MiSeq	PerkinElmer V1-V3	Z	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_I1	0.680616138226055	I1	Illumina MiSeq	Illumina WGS	I	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_MN2	0.639888038122354	MN2	ONT MinIon	ONT V1-V9	MN	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_Z3	0.352933995767193	Z3	Illumina MiSeq	Zymo V1-V2	Z	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_MN4	0.68582538840431	MN4	Illumina MiSeq	Illumina WGS	MN	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_I2	0	I2	Illumina MiSeq	Zymo V1-V2	I	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_MN3	0.643391590911618	MN3	ONT MinIon	ONT V1-V9	MN	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_Q3	0.802432365185036	Q3	Illumina MiSeq	PerkinElmer V1-V3	Q	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_I3	0.704609738513417	I3	Illumina MiSeq	Illumina WGS	I	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_Z1	0.701451954989655	Z1	PacBio Sequel IIe	PacBio V1-V9	Z	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_MN1	0.662831599171012	MN1	PacBio Sequel IIe	PacBio V1-V9	MN	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Z4	0.683981158662176	Z4	Illumina MiSeq	Illumina WGS	Z	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Z1	0.688869194835231	Z1	Illumina MiSeq	Illumina WGS	Z	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_MN4	0.637461503533813	MN4	ONT MinIon	ONT V1-V9	MN	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Z3	0.675171775838796	Z3	Illumina MiSeq	Illumina WGS	Z	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_I1	0.676157277058944	I1	ONT MinIon	ONT V1-V9	I	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_I1	0.443541186069584	I1	Illumina MiSeq	PerkinElmer V1-V3	I	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Q4	0.819927413707138	Q4	Illumina MiSeq	Illumina WGS	Q	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_MN4	0.639151484824153	MN4	PacBio Sequel IIe	PacBio V1-V9	MN	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_MN1	0.701612130332922	MN1	Illumina MiSeq	Illumina WGS	MN	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_I4	0.678551789813946	I4	Illumina MiSeq	Illumina WGS	I	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_Z2	0.593214068672429	Z2	PacBio Sequel IIe	PacBio V1-V9	Z	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_Z4	0.740238149923177	Z4	Illumina MiSeq	PerkinElmer V1-V3	Z	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_Z2	0.74351706494844	Z2	Illumina MiSeq	Zymo V3-V4	Z	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Q2	0.881110973364898	Q2	Illumina MiSeq	Illumina WGS	Q	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_MN3	0.102574207348054	MN3	Illumina MiSeq	Zymo V1-V2	MN	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_I1	0.672894376354138	I1	PacBio Sequel IIe	PacBio V1-V9	I	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_Z3	0.637127198047773	Z3	ONT MinIon	ONT V1-V9	Z	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Z2	0.689608655125379	Z2	Illumina MiSeq	Illumina WGS	Z	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_Z4	0.28776956029125	Z4	Illumina MiSeq	Zymo V1-V2	Z	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_Z4	0.722602116524814	Z4	Illumina MiSeq	Zymo V3-V4	Z	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_Z4	0.570324945866825	Z4	PacBio Sequel IIe	PacBio V1-V9	Z	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Q3	0.869031738977721	Q3	Illumina MiSeq	Illumina WGS	Q	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V2_Z2	0.364495624415801	Z2	Illumina MiSeq	Zymo V1-V2	Z	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_Z1	0.759720599233399	Z1	Illumina MiSeq	Zymo V3-V4	Z	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_Z2	0.433479576195312	Z2	Illumina MiSeq	PerkinElmer V1-V3	Z	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_Z3	0.679562289593209	Z3	PacBio Sequel IIe	PacBio V1-V9	Z	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V1_V3_Q2	0.708287890560702	Q2	Illumina MiSeq	PerkinElmer V1-V3	Q	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_WGS_Q1	0.838954901890797	Q1	Illumina MiSeq	Illumina WGS	Q	1	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_I3	0.653378466578374	I3	PacBio Sequel IIe	PacBio V1-V9	I	3	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	Illumina_V3_V4_MN4	0.77777436368978	MN4	Illumina MiSeq	Zymo V3-V4	MN	4	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	ONT_V1_V9_Z2	0.609591940308331	Z2	ONT MinIon	ONT V1-V9	Z	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
Illumina_V1_V2_I2	PacBio_V1_V9_I2	0.624016859528648	I2	PacBio Sequel IIe	PacBio V1-V9	I	2	I2	Illumina MiSeq	Zymo V1-V2	I	2
