host	platform	Vregion	workflow	method	db	DNA_isolation_method	sample_nr	sample	sample_name	bamfile	project	mapq.filt
Toti	Illumina	V1_V3	dada2		SILVA	MN	3	Toti_Illumina_V1_V3_dada2_SILVA_MN_3	MN3			
Toti	Illumina	V1_V3	dada2		SILVA	MN	4	Toti_Illumina_V1_V3_dada2_SILVA_MN_4	MN4			
Toti	Illumina	V1_V3	dada2		SILVA	Q	1	Toti_Illumina_V1_V3_dada2_SILVA_Q_1	Q1			
Toti	Illumina	V1_V3	dada2		SILVA	Q	2	Toti_Illumina_V1_V3_dada2_SILVA_Q_2	Q2			
Toti	Illumina	V1_V3	dada2		SILVA	Q	3	Toti_Illumina_V1_V3_dada2_SILVA_Q_3	Q3			
Toti	Illumina	V1_V3	dada2		SILVA	Q	4	Toti_Illumina_V1_V3_dada2_SILVA_Q_4	Q4			
Toti	Illumina	V1_V3	dada2		SILVA	Z	1	Toti_Illumina_V1_V3_dada2_SILVA_Z_1	Z1			
Toti	Illumina	V1_V3	dada2		SILVA	Z	2	Toti_Illumina_V1_V3_dada2_SILVA_Z_2	Z2			
Toti	Illumina	V1_V3	dada2		SILVA	Z	3	Toti_Illumina_V1_V3_dada2_SILVA_Z_3	Z3			
Toti	Illumina	V1_V3	dada2		SILVA	Z	4	Toti_Illumina_V1_V3_dada2_SILVA_Z_4	Z4			
Toti	Illumina	V1_V3	EMU		EMUdb	I	1	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	I1			
Toti	Illumina	V1_V3	EMU		EMUdb	I	2	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	I2			
Toti	Illumina	V1_V3	EMU		EMUdb	I	3	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	I3			
Toti	Illumina	V1_V3	EMU		EMUdb	I	4	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	I4			
Toti	Illumina	V1_V3	EMU		EMUdb	MN	1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	MN1			
Toti	Illumina	V1_V3	EMU		EMUdb	MN	2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_2	MN2			
Toti	Illumina	V1_V3	EMU		EMUdb	MN	3	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	MN3			
Toti	Illumina	V1_V3	EMU		EMUdb	MN	4	Toti_Illumina_V1_V3_EMU_EMUdb_MN_4	MN4			
